"texto,sentimento"
"O produto chegou antes do prazo, ótimo serviço.,positivo"
"O ambiente estava sujo e desconfortável.,negativo"
"O filme tem duas horas de duração.,neutro"
"A comida estava fria e sem sabor.,negativo"
"Essa música me deixa muito animado.,positivo"
"O hotel era barulhento e mal cuidado.,negativo"
"Estou usando o computador para trabalhar.,neutro"
"Que experiência incrível, quero repetir em breve.,positivo"
"A série tem dez episódios disponíveis.,neutro"
"Fiquei insatisfeito com minha compra.,negativo"
"O concerto foi emocionante do começo ao fim.,positivo"
"O suporte demorou demais para responder.,negativo"
"O restaurante abre às 19 horas.,neutro"
"O atendimento foi excelente, todos muito educados.,positivo"
"A viagem foi um desastre, vários problemas aconteceram.,negativo"
"Estou satisfeito com minha compra, valeu a pena.,positivo"
"O filme foi entediante e cansativo.,negativo"
"O aplicativo ocupa 200 MB de espaço.,neutro"
"Essa série é fantástica, recomendo a todos.,positivo"
"O presente não tinha nada a ver comigo.,negativo"
"O ambiente era aconchegante e agradável.,positivo"
"A interface do sistema é complicada e confusa.,negativo"
"A viagem durou três horas de carro.,neutro"
"O atendimento foi péssimo e desorganizado.,negativo"
"Esse livro é inspirador e cheio de boas ideias.,positivo"
"Essa música é irritante e barulhenta.,negativo"
"O professor explicou o conteúdo de forma clara e objetiva.,positivo"
"O produto veio com defeito e não funciona.,negativo"
"O livro possui 300 páginas.,neutro"
"Gostei bastante da nova atualização do aplicativo.,positivo"
"Essa série é chata e mal produzida.,negativo"
"O presente que recebi foi perfeito.,positivo"
"O atendimento foi realizado em cinco minutos.,neutro"
"O hotel tinha uma vista deslumbrante.,positivo"
"Esse livro é confuso e mal escrito.,negativo"
"A interface do sistema é simples e muito intuitiva.,positivo"
"O filme foi incrível, superou todas as minhas expectativas.,positivo"
"O concerto estava mal organizado e atrasou muito.,negativo"
"O ambiente tinha cadeiras e mesas de madeira.,neutro"
"Estou muito feliz com o resultado do meu trabalho.,positivo"
"Estou frustrado com o atraso na entrega.,negativo"
"A viagem foi maravilhosa, tudo correu bem.,positivo"
"O produto foi entregue na terça-feira.,neutro"
"Fiquei encantado com a gentileza das pessoas.,positivo"
"As pessoas foram rudes e impacientes comigo.,negativo"
"Essa música me deixa relaxado.,positivo"
"O professor não soube explicar o conteúdo direito.,negativo"
"O livro foi caro, mas não me arrependi da compra.,positivo"
"A comida demorou para chegar e veio errada.,negativo"
"O suporte técnico resolveu meu problema rapidamente.,positivo"